,ulica,numer,nr_lokalu,powierzchnia_uzyt,liczba_pokoi,piętro,lok_cena_brutto,cena_za_m2,srednia_budynek,srednia_cena_ulica,srednia_cena_dzielnica,near_100,near_300,near_500,dist_centrum,dzielnica,coordinates,rodzaj_rynku,data,rok
1743,ANDRZEJA BADURSKIEGO,9,75_LOK,39.99,2.0,8.0,407098,10180,11400,12385,13370,11400,11400,17562,6673,Dzielnica XI Podgórze Duchackie,"(50.01192514543418, 19.99031505139054)",pierwotny,2024-03-22,2024
1744,LEONIDA TELIGI,10,66_LOK,39.11,3.0,1.0,553000,14140,13969,13483,13627,12426,13352,13641,7020,Dzielnica XII Biezanow-Prokocim,"(50.01544331912869, 20.00520944148891)",wtorny,2024-03-08,2024
1745,WODNA,36,1_LOK,38.75,2.0,1.0,570000,14710,16964,12801,14979,11000,16096,16096,3789,Dzielnica XIII Podgórze,"(50.03775585726647, 19.976178294704226)",wtorny,2024-02-23,2024
1746,STAŃCZYKA,8C,60_LOK,27.43,1.0,7.0,495000,18046,19062,16906,14996,15618,15308,14927,3835,Dzielnica VI Bronowice,"(50.07890691322885, 19.89228986748424)",wtorny,2024-10-31,2024
1747,OBOZOWA,54B,5_LOK,42.75,2.0,1.0,513000,12000,12585,13357,14142,13571,13934,13719,5665,Dzielnica IX Łagiewniki-Borek Fałęcki,"(50.014721021323, 19.909796080124195)",pierwotny,2024-09-18,2024
1748,ANNY SZWED-ŚNIADOWSKIEJ,44,57_LOK,46.18,1.0,3.0,690000,14942,14485,13647,14775,13387,13157,13296,7885,Dzielnica VIII Dębniki,"(49.99602005918092, 19.898927973044522)",wtorny,2024-10-30,2024
1749,ŚW. KINGI,13,10_LOK,34.39,1.0,2.0,535000,15557,14400,15450,14979,15329,15576,16897,2506,Dzielnica XIII Podgórze,"(50.04432050375469, 19.960677136773615)",wtorny,2024-08-08,2024
1750,DR. JANA PILTZA,26,5_LOK,43.53,2.0,1.0,557000,12796,12350,14018,14775,17109,14528,14553,6772,Dzielnica VIII Dębniki,"(50.00982324160534, 19.89043027666183)",pierwotny,2024-07-03,2024
1751,OSIEDLE AVIA,7,88_LOK,39.73,2.0,8.0,680000,17116,15520,15896,13985,16095,15817,15543,5096,Dzielnica XIV Czyżyny,"(50.07933761004956, 20.005058814081686)",wtorny,2024-07-09,2024
1752,MYŚLIWSKA,57,21_LOK,48.76,3.0,3.0,697800,14311,13919,13300,14979,15866,15198,14689,4672,Dzielnica XIII Podgórze,"(50.04478045841699, 19.99858033910778)",wtorny,2024-06-27,2024
